bioguide_id,ICPSR_id
A000014,15245
A000022,15000
A000366,21120
A000055,29701
A000364,20928
A000069,14400
A000358,20123
A000360,40304
A000361,20327
A000109,29108
A000357,29728
A000362,20743
A000367,21143
A000369,
A000210,29132
A000363,20736
A000365,20940
A000368,41106
B001234,29942
B001256,20728
B000013,29301
B001229,29938
B000072,15401
B001230,29940
B001269,21171
B001261,40707
B001239,20347
B001252,20507
B000208,29356
B000213,15085
B000220,29538
B001270,21110
B000243,14203
B001233,49901
B001253,20509
B000287,29316
B001265,40900
B001271,21141
B001267,
B000382,49307
B001272,21160
B001231,29922
B000410,15005
B000420,29702
B000444,14101
B001232,29912
B000461,29508
B001257,20758
B000468,14912
B001250,20357
B000490,29339
B001242,20338
B001273,21180
B001243,20351
B000574,29588
B001277,41101
B000575,41105
B001263,20943
B000589,29137
B000611,15501
B001244,20300
B001228,29775
B001236,41100
B001245,70701
B001254,20523
B000652,29721
B000657,15010
B001255,20514
B000711,15011
B000716,29713
B001258,20721
B000755,29760
B001227,29777
B001259,20719
B001264,20900
B001274,21193
B001262,20753
B000911,29328
B001235,20137
B001268,40913
B000944,29389
B000953,29523
B001247,20313
B001260,20709
B001275,21132
B001276,21158
B001066,15406
B001248,20355
B001135,29548
B001266,111508
B001149,15014
B001251,20340
B001203,29350
B001210,1366
C000059,29323
C000071,29124
C001064,20539
C000116,29766
C001082,21183
C001046,20144
C000127,39310
C001079,20917
C001047,20146
C001036,29774
C001037,29919
C000141,15408
C001050,20306
C001060,20516
C001065,20746
C001083,21113
C000174,15015
C001072,20757
C000191,20757
C001051,20356
C001070,40703
C001075,20919
C000243,29327
C001066,20708
C001073,20760
C000266,21161
C001076,20949
C000286,29512
C001058,20326
C001074,20761
C000380,70501
C001080,20955
C001084,21172
C001085,21145
C001067,20733
C001049,20147
C001061,20517
C001041,40105
C000537,39301
C000542,14806
C000556,15092
C000560,29555
C000567,14009
C001077,20906
C001068,20748
C001053,20344
C001057,40302
C001035,49703
C001062,20531
C001078,20952
C000705,15502
C000714,10713
C001088,40916
C000754,15019
C001071,40705
C001056,40305
C001059,20501
C000794,15453
C001069,20706
C000858,14809
C000868,29100
C000880,29345
C001086,21146
C001087,21106
C001045,20111
C001081,20960
C001038,29925
C000962,29584
C001063,20533
C001048,20139
C000984,29587
D000608,20945
D000602,20302
D000096,29717
D000606,20747
D000603,20511
D000597,29576
D000599,20350
D000598,20108
D000136,29576
D000168,99342
D000191,15410
D000197,29710
D000210,29731
D000216,29109
D000595,29936
D000612,21109
D000604,20526
D000616,21179
D000610,20959
D000299,29336
D000600,29336
D000327,14413
D000355,2605
D000611,20961
D000388,14213
D000399,29571
D000613,21127
D000601,40303
D000407,14103
D000607,20717
D000429,29104
D000432,14812
D000482,29561
D000605,20534
D000492,14813
D000609,20939
D000614,21189
D000615,21174
D000533,15455
D000563,15021
E000290,20763
E000063,29144
E000092,29362
E000288,20727
E000291,21159
E000289,20718
E000287,20323
E000172,29736
E000179,15603
E000187,29563
E000194,29537
E000285,49706
E000215,29312
E000226,29745
E000268,29300
F000010,70302
F000453,20742
F000460,21184
F000030,29313
F000043,29559
F000447,20315
F000061,49309
F000062,49300
F000443,20127
F000116,29325
F000458,21181
F000451,21169
F000444,20100
F000459,21178
F000456,20918
F000461,21182
F000445,20143
F000449,20518
F000452,
F000440,29773
F000454,20749
F000450,20521
F000339,14824
F000457,40904
F000448,20304
F000372,29541
F000455,20941
G000021,15413
G000559,20958
G000562,21112
G000548,20336
G000549,20345
G000563,21165
G000564,21156
G000554,20701
G000180,29122
G000555,20735
G000210,15604
G000550,20319
G000552,20527
G000544,29943
G000280,89767
G000289,39308
G000561,
G000309,15100
G000565,21103
G000566,21175
G000359,29566
G000377,29762
G000386,14226
G000560,20962
G000546,20124
G000556,20908
G000553,39304
G000410,39304
G000445,14826
G000567,21107
G000568,21191
G000557,90901
G000551,20305
G000569,21154
G000570,21152
G000558,20916
G000535,29348
H001049,40907
H001028,49704
H001063,
H001039,20734
H000067,94828
H001044,20913
H001050,21124
H001051,21157
H001040,20716
H000206,14230
H000213,29318
H001045,20925
H001052,21139
H001053,21149
H000323,15417
H000324,29337
H000329,29580
H000338,14503
H001029,29929
H001054,21155
H001055,21151
H001046,20930
H001041,20730
H001036,20352
H000528,15420
H001056,21187
H001037,20349
H001038,20519
H001030,29914
H001047,20907
H000627,29380
H000636,29763
H001042,20713
H000666,29136
H001062,
H001043,20732
H000676,29361
H001061,41107
H000712,29396
H001032,29923
H001034,20103
H000762,29750
H000874,14873
H001057,21134
H001058,21142
H000948,29737
H001059,21129
H000981,20963
H001048,20963
H001060,21186
H001016,49306
I000023,39300
I000024,15424
I000025,4812
I000026,29937
I000055,29909
I000057,20129
I000056,20107
J000283,29585
J000032,29573
J000070,29120
J000290,20915
J000287,20512
J000291,40905
J000292,21162
J000126,39305
J000288,20712
J000293,41111
J000174,29143
J000177,15425
J000285,20116
J000284,29930
J000255,29546
J000289,20738
K000365,20751
K000008,15104
K000009,15029
K000373,111509
K000375,21140
K000361,20112
K000376,21167
K000105,10808
K000113,29564
K000148,14920
K000172,14430
K000180,29733
K000372,20942
K000188,29769
K000210,29375
K000362,20325
K000220,29338
K000378,21128
K000360,20115
K000374,111513
K000368,20902
K000369,20938
K000366,20711
K000363,20333
K000367,40700
K000288,29365
K000305,15703
K000370,20911
K000371,20921
K000336,29748
K000364,20520
K000352,15429
L000573,21125
L000552,29517
L000564,20704
L000043,29761
L000567,20929
L000550,49702
L000574,21138
L000559,20136
L000575,21166
L000090,14837
L000560,20145
L000557,29908
L000111,29522
L000553,29553
L000566,20755
L000123,14914
L000174,14307
L000551,29778
L000568,20936
L000577,41110
L000572,111512
L000261,14709
L000263,14709
L000274,14644
L000287,15431
L000293,29352
L000304,15704
L000035,29305
L000321,29341
L000563,20508
L000554,29539
L000565,20720
L000397,29504
L000576,21150
L000480,15612
L000491,29393
L000569,20926
L000504,14506
L000570,20932
L000571,20953
L000517,14647
L000562,20119
M001155,20503
M001171,20935
M001164,20710
M000087,29379
M001183,40915
M001138,29349
M001158,20532
M001179,21170
M001172,20905
M000133,14435
M001146,20317
M001162,40501
M001173,20937
M001142,20140
M001163,20538
M000303,15039
M000309,29744
M001165,20703
M001170,40701
M001157,20530
M001177,20903
M001143,20122
M000355,14921
M001147,20332
M000388,15451
M000404,15613
M000312,29729
M001156,20522
M000472,39316
M000485,29746
M000508,29315
M001180,21188
M001174,20933
M001159,20535
M001166,20702
M000590,15614
M000627,29358
M001181,21168
M001148,20358
M001137,29776
M001161,20513
M000639,29373
M001176,40908
M000689,29331
M001149,20328
M000702,14440
M000714,29586
M001150,20331
M001139,29905
M000725,14256
M001144,20110
M001154,20341
M001175,20912
M001167,20700
M000844,15083
M001140,29915
M001160,20537
M000933,29149
M000934,41103
M001182,21176
M001153,40300
M001169,20707
M001168,20745
M001178,20956
M001151,20346
M001111,49308
M001120,14072
M001152,20311
M001134,29549
N000002,29377
N000179,29903
N000015,15616
N000032,14651
N000180,40103
N000182,20353
N000184,21177
N000147,70303
N000159,29513
N000185,21115
N000181,20307
N000186,21147
N000183,20950
O000167,40502
O000006,14265
O000007,12036
O000168,20948
O000085,29123
O000107,15049
O000169,20957
P000601,21148
P000034,15454
P000096,29741
P000099,29101
P000603,41104
P000583,14290
P000594,20924
P000149,15619
P000588,20337
P000197,15448
P000587,20117
P000593,20705
P000600,20951
P000595,20923
P000258,29127
P000263,29751
P000265,14675
P000323,29734
P000596,70805
P000597,20920
P000373,29752
P000585,20135
P000592,20528
P000598,20904
P000422,29384
P000602,21136
P000589,20334
P000449,41108
P000599,20909
P000523,15438
P000591,20505
P000555,29390
P000590,40301
P000586,20113
Q000024,21104
Q000023,20954
R000004,29505
R000011,14448
R000033,29126
R000053,13035
R000122,29142
R000585,21101
R000141,14045
R000571,20125
R000578,20536
R000146,15054
R000586,21164
R000574,20303
R000170,29764
R000569,29928
R000587,21190
R000581,20752
R000588,21137
R000589,21185
R000584,40902
R000590,21121
R000307,14852
R000591,21192
R000361,14922
R000568,29771
R000582,20947
R000395,14854
R000575,20301
R000572,20120
R000409,15621
R000592,21131
R000583,20910
R000580,20715
R000435,15634
R000593,21117
R000573,20102
R000462,29742
R000486,29317
R000487,29321
R000595,41102
R000594,21153
R000576,20329
R000515,29346
R000570,29939
R000577,20343
S001177,70810
S001158,40500
S001163,40500
S001167,20714
S001156,29709
S000030,29709
S000033,29147
S001168,20724
S000097,15112
S001176,20759
S001145,29911
S001178,20922
S001150,20104
S001182,21130
S001164,20540
S001179,20914
S001180,20944
S000148,14858
S001162,20525
S001183,21105
S001157,20321
S001189,21123
S000185,39307
S001184,21173
S000244,14657
S000248,29134
S001141,49700
S000250,29759
S001169,20744
S001185,21102
S000275,29501
S001181,40906
S001144,15449
S001170,20731
S000320,94659
S000344,29707
S000364,29718
S001171,20737
S001154,20134
S001148,29910
S001165,20542
S000465,14451
S000480,15444
S000510,29768
S001172,20729
S000522,14863
S001142,49705
S000583,15445
S000663,14661
S000672,29703
S001153,20105
S001143,29519
S001186,21114
S001173,20741
S000709,14910
S001175,20762
S000749,15064
S000770,29732
S000810,14053
S000822,15627
S000888,12109
S001187,21163
S001045,29360
S001188,21100
S001155,20131
S001078,29740
S001174,20740
T000458,29907
T000038,15628
T000057,29705
T000074,15637
T000466,20931
T000459,29921
T000464,40702
T000193,29368
T000467,20946
T000460,29901
T000238,29572
T000250,29754
T000260,29524
T000462,20130
T000266,29730
T000470,21111
T000468,20927
T000469,20934
T000461,29935
T000326,15072
T000465,20754
T000463,20342
T000471,
U000038,29906
U000039,29924
U000031,15446
V000128,20330
V000081,29378
V000108,15124
V000127,29918
V000126,49903
W000798,21144
W000791,29932
W000099,15630
W000811,21126
W000799,20726
