"","x"
"1","access afford"
"2","access health"
"3","account offic"
"4","across america"
"5","across border"
"6","across nation"
"7","act law"
"8","act make"
"9","act usc"
"10","actual go"
"11","actual work"
"12","addit second"
"13","advisori committe"
"14","afford care"
"15","afford health"
"16","african american"
"17","al qaeda"
"18","allow peopl"
"19","allow vote"
"20","along senat"
"21","also help"
"22","also make"
"23","also need"
"24","also thank"
"25","amend consid"
"26","amend order"
"27","amend process"
"28","amend reserv"
"29","amend right"
"30","amend rule"
"31","amend vote"
"32","amend yield"
"33","american citizen"
"34","american economi"
"35","american health"
"36","american hero"
"37","american peopl"
"38","american taxpay"
"39","among us"
"40","answer question"
"41","appreci gentleman"
"42","appropri committe"
"43","appropri subcommitte"
"44","armi corp"
"45","ask question"
"46","ask unanim"
"47","assault militari"
"48","assist program"
"49","assist secretari"
"50","attorney gener"
"51","averag american"
"52","back home"
"53","back time"
"54","background check"
"55","balanc budget"
"56","balanc time"
"57","barack obama"
"58","base upon"
"59","believ would"
"60","bill actual"
"61","bill bipartisan"
"62","bill clinton"
"63","bill committe"
"64","bill consid"
"65","bill could"
"66","bill creat"
"67","bill hope"
"68","bill hr"
"69","bill let"
"70","bill make"
"71","bill right"
"72","bill support"
"73","bill take"
"74","bill time"
"75","bill vote"
"76","bill young"
"77","bipartisan agreement"
"78","bipartisan bill"
"79","bipartisan effort"
"80","bipartisan fashion"
"81","bipartisan vote"
"82","block grant"
"83","border patrol"
"84","border secur"
"85","borrow money"
"86","branch govern"
"87","breast cancer"
"88","bring back"
"89","bring floor"
"90","broken immigr"
"91","brought floor"
"92","budget control"
"93","budget deal"
"94","budget offic"
"95","budget request"
"96","budget resolut"
"97","build new"
"98","buy health"
"99","call upon"
"100","came togeth"
"101","carbon dioxid"
"102","care act"
"103","care bill"
"104","care law"
"105","care plan"
"106","carolina mr"
"107","central america"
"108","chair committe"
"109","chair gentleman"
"110","chair order"
"111","chairman demand"
"112","chairman reserv"
"113","chairman rise"
"114","chairman senat"
"115","chairman subcommitte"
"116","chairman would"
"117","chairman yield"
"118","chang law"
"119","chang rule"
"120","chang senat"
"121","charter school"
"122","child care"
"123","child tax"
"124","children famili"
"125","chuck hagel"
"126","citizen unit"
"127","civil liberti"
"128","civil right"
"129","claim time"
"130","clean air"
"131","clean water"
"132","climat chang"
"133","close door"
"134","close loophol"
"135","clotur motion"
"136","cold war"
"137","colleagu come"
"138","colleagu new"
"139","colleagu oppos"
"140","colleagu say"
"141","colleagu senat"
"142","collect tax"
"143","colleg student"
"144","colleg univers"
"145","colorado mr"
"146","come congress"
"147","come countri"
"148","come home"
"149","come senat"
"150","come togeth"
"151","come unit"
"152","command chief"
"153","commit crime"
"154","committe arm"
"155","committe energi"
"156","committe foreign"
"157","committe hous"
"158","committe intellig"
"159","committe member"
"160","committe process"
"161","committe rule"
"162","committe senat"
"163","committe staff"
"164","comprehens immigr"
"165","concurr resolut"
"166","confer committe"
"167","congress act"
"168","congress american"
"169","congress go"
"170","congress presid"
"171","congress take"
"172","congress work"
"173","congress would"
"174","congression budget"
"175","congression record"
"176","congression research"
"177","consent request"
"178","consent senat"
"179","consent speak"
"180","consent text"
