"","bigram","Freq_R","Freq_D","chi.sq()"
"410","care law",1462,165,-0.63783652407875
"1297","illeg immigr",569,77,-0.585487616099071
"868","extran materi",417,59,-0.572876810298588
"1508","legisl day",560,79,-0.571986244304514
"2833","tax increas",351,60,-0.508732089753988
"413","care plan",437,79,-0.487019303845569
"2306","rais tax",335,64,-0.468352815881944
"1947","obama administr",1193,249,-0.43035245847805
"1503","legal statu",272,59,-0.421742970020916
"74","al qaeda",529,118,-0.407306493187085
"959","follow senat",323,73,-0.404687904687905
"2198","presid say",237,57,-0.38265306122449
"1699","medic devic",309,74,-0.38246843639839
"1025","gentleman pennsylvania",203,50,-0.374597942103663
"1502","legal immigr",238,61,-0.357608410286849
"819","enforc law",461,118,-0.354613328028405
"1359","intern revenu",243,63,-0.352941176470588
"1701","medicar advantag",197,53,-0.339934426229508
"2660","south carolina",479,129,-0.33468482252142
"812","energi product",242,66,-0.333017975402081
"1335","individu mandat",309,89,-0.310224592349503
"525","command chief",182,53,-0.309226052215925
"1207","harri reid",287,87,-0.290630086026505
"901","feder spend",202,62,-0.287761334272962
"289","bill hr",483,148,-0.284564183835182
"3394","xl pipelin",295,91,-0.283719661848923
"982","friend across",159,50,-0.280033940651001
"352","border patrol",399,124,-0.279687563565355
"3218","web site",837,261,-0.276706899657719
"2525","senat democrat",553,173,-0.276247321701867
"154","american citizen",513,161,-0.275200341157448
"2341","religi freedom",256,81,-0.274547948398433
"2951","time presid",202,65,-0.269332874137214
"722","democrat colleagu",207,67,-0.266913607146748
"2549","senat major",233,76,-0.263268074380254
"1301","immigr law",353,116,-0.258668091200892
"3001","took offic",156,52,-0.257425742574257
"1608","lower cost",247,83,-0.251552562663674
"1486","law requir",173,59,-0.247863899908453
"1483","law nt",190,65,-0.246082368690448
"3236","white hous",1457,501,-0.239124064368124
"2241","promis made",198,69,-0.238796332170993
"1215","health plan",288,100,-0.238462784044907
"2416","rule law",578,200,-0.237895760352705
"605","continu reserv",213,75,-0.234485815602837
"2671","speaker continu",146,52,-0.232428451178451
"1615","madam chairman",297,105,-0.231569425599276
"2662","southern border",249,89,-0.22813146075426
"813","energi resourc",141,51,-0.226814516129032
"2850","terrorist organ",204,74,-0.223497672450275
"2174","presid budget",198,72,-0.222727272727273
"1281","hr amend",194,71,-0.220426895898594
"1424","keyston xl",339,124,-0.218463923323771
"2058","peopl actual",140,52,-0.216845878136201
"1487","law say",183,68,-0.215058134807708
"418","carolina mr",181,68,-0.211033434148115
"1481","law law",143,54,-0.210513726845085
"2197","presid said",402,151,-0.208273965175823
"2141","person inform",139,53,-0.207101254480287
"128","amend process",200,76,-0.206333870101986
"815","energi secur",192,73,-0.206323304436512
"1033","georgia mr",157,60,-0.205495009500513
"3036","underli legisl",135,52,-0.203533548024936
"1862","new law",131,51,-0.1998001998002
"2055","pennsylvania mr",144,56,-0.199587628865979
"20","across border",141,55,-0.198603651987111
"925","first amend",340,132,-0.196697461264276
"1385","job creator",139,55,-0.193463478833077
"866","extend remark",552,218,-0.189630788060107
"2385","revis extend",554,219,-0.189284370988934
"1131","god bless",258,103,-0.187468300105341
"1858","new health",124,50,-0.187328954570334
"2043","patrol agent",141,57,-0.185606060606061
"2206","presid unit",734,295,-0.183078789398737
"2731","state israel",132,54,-0.181720430107527
"3051","urg adopt",132,54,-0.181720430107527
"1795","nation debt",342,139,-0.180365466681256
"47","act usc",168,69,-0.179023508137432
"3118","violat law",143,59,-0.178217821782178
"131","amend right",209,87,-0.173392357875117
"978","found father",204,85,-0.173144876325088
"2667","speaker ask",759,315,-0.171866172870504
"896","feder land",366,154,-0.168153247530679
"556","concurr resolut",117,50,-0.166958009446945
"2825","talk point",169,72,-0.166134016067803
"2566","senat reid",308,131,-0.164814006218205
"807","energi cost",156,67,-0.163687462544688
"1421","keep promis",141,61,-0.161648817943019
"1469","last thing",119,52,-0.159099769626085
"1724","middl east",572,248,-0.157272128003835
"2465","say presid",157,69,-0.155752212389381
"1626","major leader",2037,886,-0.155376524487324
"2417","rule senat",221,97,-0.154975004031608
"957","florida mr",199,88,-0.1527769166863
"860","execut branch",456,201,-0.152031647833681
"514","come countri",198,88,-0.151098901098901
"2763","street journal",270,120,-0.150240384615385
"3434","year presid",213,95,-0.149694676184742
"1479","law go",111,50,-0.1491083951112
"3194","wast fraud",120,54,-0.149014778325123
"1756","money nt",131,59,-0.148283752860412
"2848","terrorist attack",232,105,-0.14459375868468
"1423","keyston pipelin",313,143,-0.14083820662768
"354","border secur",715,327,-0.139455605866354
"1265","hous consid",136,63,-0.13875074856146
"2147","plan would",125,58,-0.138587879349202
"2979","today mr",148,69,-0.136305064756372
"2260","provid health",163,76,-0.135920412304488
"2492","secur border",422,198,-0.131806241462646
"187","answer question",291,137,-0.131306196571732
"2701","spend money",417,196,-0.13126090123115
"52","actual go",107,51,-0.130579613590939
"3103","use word",107,51,-0.130579613590939
"1014","gentleman colorado",158,75,-0.13024900266586
"1168","govern spend",189,90,-0.128677773839064
"1904","nt keep",108,52,-0.127272727272727
"2296","question ask",135,65,-0.126288659793814
"210","ask question",370,177,-0.125872259036857
"1490","law would",206,99,-0.125544163605461
"1044","get economi",122,59,-0.125303867403315
"2168","prepar close",128,62,-0.124599542334096
"2720","state code",157,76,-0.124047569529788
"2192","presid propos",111,54,-0.123842195540309
"2315","read bill",104,51,-0.121628058021217
"1331","increas debt",108,53,-0.121218192746944
"521","come unit",141,69,-0.121008403361345
"1186","green card",155,76,-0.12007696007696
"980","fraud abus",157,77,-0.119958014694857
"2666","speaker american",103,51,-0.118638118638119
"809","energi independ",196,97,-0.116552306429939
"1090","go cost",147,73,-0.116312659303314
"2851","texa mr",283,140,-0.115929951074601
"1336","inform technolog",114,57,-0.115151515151515
"727","democrat senat",270,134,-0.115030598537241
"2498","secur number",124,62,-0.114814814814815
"2970","titl unit",150,75,-0.114155251141553
"3011","treasuri depart",101,51,-0.112653208363374
"1485","law presid",219,110,-0.111803287944517
"376","budget control",248,125,-0.11051858778152
"423","central america",130,66,-0.109989258861439
"241","barack obama",211,107,-0.109014675052411
"1205","hardwork american",274,139,-0.108423413508159
"1427","kind thing",151,77,-0.108187134502924
"2639","sinc presid",139,71,-0.107936507936508
"615","cost american",135,69,-0.107843137254902
"2490","section titl",131,67,-0.107744107744108
"717","defund obamacar",146,75,-0.106092812795959
"1213","health human",326,167,-0.105297574669604
"2680","speaker reserv",349,179,-0.10485603158017
"1286","human servic",336,173,-0.103774211313651
"3226","well mr",96,50,-0.103522504892368
"1704","member arm",119,62,-0.102573007103394
"958","follow law",115,60,-0.102282333051564
"2831","tax dollar",177,92,-0.102124471709048
"3230","well would",99,52,-0.100890614295501
"2187","presid nt",151,79,-0.100621118012422
"967","foreign countri",120,63,-0.100305640455682
"452","chang law",207,109,-0.0980400163331972
"610","control act",281,148,-0.0974777783288422
"1606","love famili",94,50,-0.0974235104669887
"1027","gentleman texa",368,194,-0.0968918815125835
"2805","take money",130,69,-0.0968833806337386
"1778","mr perez",128,68,-0.0966702470461869
"2372","research servic",124,66,-0.0962242562929062
"577","congression research",118,63,-0.095501183898974
"1845","need reform",118,63,-0.095501183898974
"2839","taxpay dollar",345,183,-0.0952194357366771
"805","energi commerc",248,132,-0.0946805516464959
"309","bill right",221,118,-0.0939789346868993
"226","averag american",121,65,-0.0936678614097969
"2562","senat paul",111,60,-0.0921850079744817
"2106","peopl side",96,52,-0.0921202893033879
"358","branch govern",176,95,-0.0913597437861171
"3316","would argu",120,65,-0.0913483315717953
"2204","presid think",92,50,-0.0913421706710853
"2153","point order",437,235,-0.0911715286715287
"2661","south dakota",364,196,-0.0909747292418773
"2133","percent increas",130,71,-0.0888123485138411
"2903","think presid",98,54,-0.087238644556597
"2648","solut problem",96,53,-0.0867789928192613
"3192","washington post",274,150,-0.0867563419698474
"2323","receiv letter",105,58,-0.0863194091672854
"2557","senat north",125,69,-0.0859837683702566
"3309","would actual",189,104,-0.0859188260337016
"862","execut order",277,153,-0.0843352347520843
"3043","unintend consequ",164,91,-0.0839278683360895
"568","congress presid",102,57,-0.0832408435072142
"703","debt limit",464,257,-0.0831188229246482
"1330","increas cost",167,93,-0.0829194427619624
"1416","justic depart",230,128,-0.0825609446419502
"1657","make point",206,115,-0.0818968501211492
"2569","senat rule",162,91,-0.0806676161367237
"2049","pay higher",92,52,-0.0805152979066023
"1715","member support",117,66,-0.0803000833564879
"1848","need understand",117,66,-0.0803000833564879
"2068","peopl come",446,250,-0.0799933366650008
"705","decid go",113,64,-0.0793273201836984
"1239","high unemploy",129,73,-0.0792079207920792
"771","due process",202,114,-0.0790526745610453
"488","cold war",111,63,-0.0788177339901478
"2027","pass law",253,143,-0.0783475783475783
"794","elect repres",109,62,-0.0782916888180046
"2142","phone call",132,75,-0.0780878217607614
"2941","time move",98,56,-0.0773955773955774
"545","committe rule",128,73,-0.0771782115065697
"1610","m go",204,116,-0.0770700636942675
"1798","nation energi",89,51,-0.0769722814498934
"1484","law pass",225,128,-0.0768138067286576
"2207","presid want",229,131,-0.0753609541745135
"2096","peopl pay",134,77,-0.0751127037336724
"1299","immedi consider",237,136,-0.0745191429677627
"1653","make much",86,50,-0.0733031674208145
"454","chang rule",281,162,-0.0731490616815864
"3268","work ethic",98,57,-0.0727863173847153
"810","energi need",91,53,-0.0726650563607085
"2724","state depart",485,280,-0.0723776554978601
"1193","guantanamo bay",103,60,-0.0722519635809464
"3022","trillion year",89,52,-0.0719201470974521
"1015","gentleman florida",215,125,-0.071327932370553
"2880","thing nt",149,87,-0.0708179808400884
"617","cost go",109,64,-0.0700910318092139
"1005","ga price",102,60,-0.0698005698005698
"1077","global warm",193,113,-0.0697167755991285
"3249","within year",100,59,-0.0691001767583344
"1482","law make",88,52,-0.0690831556503198
"744","deserv better",170,100,-0.0687429854096521
"2182","presid go",144,85,-0.0681653514011005
"1877","north dakota",340,200,-0.0679705923151616
"2882","thing peopl",96,57,-0.0676270508203281
"2127","per month",145,86,-0.066974506974507
"1349","insur premium",206,122,-0.0668080593849417
"1891","nt chang",116,69,-0.0667069303940812
"2622","shall consid",87,52,-0.066262779250284
"3108","ve got",412,244,-0.0661913696060037
"2687","speaker time",259,154,-0.0655894723691334
"2801","take job",85,51,-0.0653846153846154
"1399","job opportun",122,73,-0.0651471984805318
"1805","nation interest",186,111,-0.0650838279704259
"826","environment impact",125,75,-0.0644329896907216
"3361","would point",96,58,-0.0633555633555634
"2411","ronald reagan",213,128,-0.0632468157744999
"675","cross border",116,70,-0.0632019115890084
"1164","govern program",136,82,-0.0630950320235416
"2472","say think",99,60,-0.0625231224565298
"3079","us nt",114,69,-0.0625173659349819
"2663","soviet union",124,75,-0.0625146457676986
"2419","rule would",117,71,-0.0618424129062427
"2512","senat arkansa",87,53,-0.0616204690831557
"2990","today support",296,179,-0.0614476489731792
"2888","thing would",161,98,-0.0605704518747997
"509","colorado mr",113,69,-0.0604395604395604
"2872","thing could",93,57,-0.06
"475","claim time",124,76,-0.0593814432989691
"1710","member parti",96,59,-0.0592768997618532
"1855","never happen",119,73,-0.0592517921146953
"3212","way senat",114,70,-0.0591108939912066
"1758","money spent",91,56,-0.0591016548463357
"2373","reserv balanc",1548,945,-0.0586457521349283
"1754","money come",89,55,-0.0581723027375201
"1080","go allow",102,63,-0.0579759862778731
"1567","like yield",162,100,-0.0573115458015267
"1989","one time",188,116,-0.0572235959025079
"2071","peopl deserv",196,121,-0.0570562041648493
"455","chang senat",82,51,-0.0568942040139719
"2686","speaker think",95,59,-0.0568620568620569
"1757","money pay",90,56,-0.0565557729941292
"2544","senat kentucki",132,82,-0.0561646297627606
"448","chairman would",106,66,-0.0560381059120202
"2700","spend million",106,66,-0.0560381059120202
"3238","wildlif servic",80,50,-0.0558312655086849
"379","budget offic",517,320,-0.0557963732141753
"2762","still nt",88,55,-0.0555867490174059
"53","actual work",130,81,-0.0555080337533233
"1079","go ahead",133,83,-0.0551146384479718
"2450","say ca",120,75,-0.0549450549450549
"238","balanc budget",350,218,-0.0545837301388402
"1684","marin corp",263,164,-0.0545205738539331
"2376","resourc committe",168,105,-0.0544511668107174
"3301","work way",213,133,-0.0544032641958518
"1456","labor union",102,64,-0.0543674698795181
"267","bill clinton",97,61,-0.0539640239840107
"2297","question senat",97,61,-0.0539640239840107
"256","bill actual",105,66,-0.0539074960127592
"2853","thank chair",174,109,-0.0538964932198849
"229","back home",350,219,-0.0535700349933041
"1783","much less",84,53,-0.0535465537415724
"2291","put us",159,100,-0.0531231400796618
"1507","legisl branch",114,72,-0.0526881720430108
"505","collect tax",90,57,-0.0525401650021711
"1943","number peopl",278,175,-0.0523924520102128
"442","chairman reserv",96,61,-0.0516725017927194
"2678","speaker nt",121,77,-0.0509259259259259
"330","bill young",102,65,-0.0509167999404917
"1761","month later",94,60,-0.0507195507195507
"2559","senat oklahoma",173,110,-0.0506308122105854
"2348","repeal obamacar",149,95,-0.0502135280341645
"2659","sound like",160,102,-0.0501550572519084
"1404","job would",122,78,-0.0498969072164948
"1220","held account",153,98,-0.0491909911374909
"3147","vote yea",98,63,-0.0490883590462833
"1016","gentleman georgia",145,93,-0.0489713126629962
"139","amend vote",143,92,-0.0483322493728514
"2277","purpl heart",82,53,-0.0482917025552684
"1639","make decis",489,314,-0.0478522354220606
"1151","govern account",194,125,-0.0476829549210292
"2143","pick choos",88,57,-0.0476804763086083
"2369","requir law",88,57,-0.0476804763086083
"3307","world would",102,66,-0.0476190476190476
"449","chairman yield",569,366,-0.0474421924558061
"1050","get involv",91,59,-0.0474074074074074
"2088","peopl lose",105,68,-0.0473849987885501
"2584","senat utah",80,52,-0.0471380471380471
"2967","time would",209,135,-0.0470964634649787
"2697","spend billion",190,123,-0.0467161336649634
"2579","senat tennesse",145,94,-0.0467074900784743
"76","allow peopl",131,85,-0.0466490299823633
"1692","may well",78,51,-0.0459444129325014
"968","foreign polici",234,152,-0.0458412871557131
"1940","nuclear weapon",495,321,-0.0458061002178649
"3293","work requir",81,53,-0.0457089552238806
"1347","insur plan",267,174,-0.0450856204550786
"1942","number one",193,126,-0.0449587869440244
"1076","given us",93,61,-0.0449280449280449
"1127","go use",116,76,-0.0448028673835125
"595","consum gentleman",119,78,-0.0446753660934967
"2947","time opposit",119,78,-0.0446753660934967
"2729","state hous",105,69,-0.0443349753694581
