"","x"
"1","abl get done"
"2","abl move forward"
"3","absent due death"
"4","access afford health"
"5","access birth control"
"6","access care act"
"7","access higher educ"
"8","access qualiti afford"
"9","accord bureau labor"
"10","accord congression research"
"11","account offic report"
"12","across state line"
"13","act chair gentlewoman"
"14","act law land"
"15","act usc amend"
"16","action climat chang"
"17","ad end follow"
"18","afghanistan mr speaker"
"19","agre bill amend"
"20","agre motion reconsid"
"21","agre preambl agre"
"22","agre speaker approv"
"23","agricultur rural develop"
"24","air forc one"
"25","al qaeda affili"
"26","al qaeda terrorist"
"27","alloftheabov energi polici"
"28","allow speak minut"
"29","allow us go"
"30","alreadi pass hous"
"31","amend ad end"
"32","amend chair gentleman"
"33","amend en bloc"
"34","amend offer mr"
"35","amend read third"
"36","amend senat proceed"
"37","america around world"
"38","america nation secur"
"39","american ca nt"
"40","american deserv better"
"41","american energi independ"
"42","american famili act"
"43","american job american"
"44","american peopl confid"
"45","american peopl good"
"46","american peopl never"
"47","american peopl one"
"48","american peopl presid"
"49","american peopl talk"
"50","american peopl vote"
"51","american societi civil"
"52","announc last week"
"53","annual appropri process"
"54","approach deficit reduct"
"55","appropri act fiscal"
"56","appropri committe senat"
"57","approv keyston pipelin"
"58","approv keyston xl"
"59","arizona mr gosar"
"60","articl iii court"
"61","articl washington post"
"62","ask american peopl"
"63","ask given permiss"
"64","ask immedi consider"
"65","ask senat colleagu"
"66","assault domest violenc"
"67","assault weapon ban"
"68","assist program snap"
"69","attorney gener eric"
"70","author meet session"
"71","back time senat"
"72","back year ago"
"73","background check system"
"74","balanc approach deficit"
"75","balanc budget back"
"76","balanc time dear"
"77","barrel oil day"
"78","base realign closur"
"79","base sexual orient"
"80","battalion infantri regiment"
"81","believ unit state"
"82","best futur endeavor"
"83","bill amend read"
"84","bill hr provid"
"85","bill mr presid"
"86","billion billion year"
"87","bipartisan budget act"
"88","bipartisan immigr reform"
"89","blue cross blue"
"90","border secur border"
"91","border secur econom"
"92","border secur enforc"
"93","border secur measur"
"94","border secur strategi"
"95","borrow money pay"
"96","bring job back"
"97","bring job home"
"98","budget balanc year"
"99","budget confer committe"
"100","bush second term"
"101","buy health care"
"102","california mr lamalfa"
"103","california mr waxman"
"104","came senat floor"
"105","care act aca"
"106","care act fact"
"107","care act law"
"108","care act let"
"109","care act make"
"110","care act million"
"111","care act time"
"112","care afford care"
"113","care law faith"
"114","care reform law"
"115","career public servic"
"116","caus climat chang"
"117","cell phone bill"
"118","center american progress"
"119","center diseas control"
"120","central valley project"
"121","chair appropri committe"
"122","chair budget committe"
"123","chair member wish"
"124","chair rank minor"
"125","chair time gentlewoman"
"126","chairman energi committe"
"127","chairman financi servic"
"128","chairman foreign affair"
"129","chairman thank chairman"
"130","chairman yield much"
"131","chanc offer amend"
"132","chang health care"
"133","chang rule senat"
"134","chief inform offic"
"135","children health insur"
"136","children live poverti"
"137","citizen unit decis"
"138","claus rule demand"
"139","clean continu resolut"
"140","climat chang global"
"141","climat chang nt"
"142","clotur motion proceed"
"143","clotur vote nomin"
"144","colleagu support commonsens"
"145","colleagu support nomin"
"146","colleagu vote clotur"
"147","colorado mr tipton"
"148","come across border"
"149","come hous repres"
"150","come long way"
"151","come mr speaker"
"152","come togeth make"
"153","come togeth say"
"154","come togeth work"
"155","commerc scienc transport"
"156","committe commerc scienc"
"157","committe discharg consider"
