"","trigram","Freq_R","Freq_D","chi.sq()"
"5867","meet session senat",7,1111,-0.980373482966757
"828","author meet session",7,1066,-0.979552638635468
"7635","period morn busi",5,444,-0.968900038711559
"9850","tabl interven action",11,508,-0.927743786784452
"10768","upon tabl interven",11,454,-0.919478998289877
"6307","mr presid move",6,212,-0.918210143673187
"1976","committe energi natur",7,228,-0.907572238223544
"2141","consent resolut agre",7,212,-0.900915385769717
"10502","unanim consent resolut",7,212,-0.900915385769717
"2130","consent committe judiciari",5,125,-0.893300248138958
"2932","equal pay equal",5,123,-0.891649590163934
"7427","pay equal work",5,122,-0.890804971692588
"4681","interven action debat",21,644,-0.885664084338312
"8470","resolut agre preambl",8,204,-0.879648287232094
"252","agre preambl agre",8,203,-0.879089122644781
"7742","preambl agre motion",8,201,-0.877955075777217
"2111","congression black caucu",7,161,-0.871399176954732
"250","agre motion reconsid",12,299,-0.868367508302145
"2820","emerg unemploy insur",5,96,-0.863053673788431
"9111","session senat june",6,117,-0.856160100062539
"10477","unanim consent committe",35,860,-0.855427289465912
"2928","equal divid usual",5,82,-0.841350929473535
"1760","clean continu resolut",8,150,-0.839606928714191
"7984","proceed consider calendar",5,81,-0.83953488372093
"2142","consent senat proceed",28,573,-0.830618437058684
"8290","reconsid laid upon",11,201,-0.826616596446236
"3900","govern pay bill",5,71,-0.818796992481203
"6180","motion invok clotur",7,110,-0.816893816893817
"8385","repeal afford care",14,239,-0.810116656798579
"5096","lay motion tabl",7,103,-0.805594405594406
"6186","motion reconsid laid",14,231,-0.80418410041841
"9851","tabl motion lay",7,101,-0.802106027596224
"7453","paycheck fair act",11,173,-0.801294577430386
"3930","grant floor privileg",6,82,-0.800443458980044
"5097","lay tabl agre",7,98,-0.796632996632997
"6181","motion lay tabl",7,98,-0.796632996632997
"3068","extrem weather event",7,97,-0.794740973312402
"4400","hous republican leadership",6,77,-0.788765451416054
"1972","committe discharg consider",7,92,-0.784729010535462
