bigram,Freq_D,Freq_R
senat proceed,1260,95
republican colleagu,877,70
motion reconsid,678,60
upon tabl,591,55
laid upon,582,57
rhode island,884,91
climat chang,1867,196
consent senat,947,106
equal divid,524,61
speaker boehner,452,53
minimum wage,1799,249
head start,568,81
comprehens immigr,583,95
tea parti,724,124
food tabl,285,51
speak minut,347,63
unemploy insur,848,160
institut health,329,64
morn busi,798,156
extend unemploy,339,68
reopen govern,333,71
medic research,227,50
new mexico,378,85
nation institut,387,88
public health,604,141
right act,326,77
foreign relat,375,90
vote confirm,237,58
senat republican,552,134
prescript drug,309,76
broken immigr,291,72
republican leader,590,145
shut govern,794,195
program help,333,83
go confer,626,157
motion proceed,336,85
presid ask,4029,1014
consent request,441,112
rollcal vote,520,132
african american,388,99
child care,260,67
go colleg,244,63
senat mikulski,228,59
clotur motion,301,79
committe energi,246,65
minut gentlewoman,302,80
us district,198,53
unemploy benefit,553,149
energi effici,604,164
feder worker,258,71
pay bill,596,165
preexist condit,502,141
presid offic,857,240
wast time,175,50
children famili,189,54
make america,321,91
famili commun,185,53
interest rate,970,274
republican senat,451,128
educ labor,205,59
health educ,230,67
domest violenc,511,148
consum protect,195,58
great lake,239,71
oppos bill,191,57
immigr reform,1344,396
colleg univers,173,52
previou question,363,108
labor pension,194,59
senat judiciari,176,54
student loan,1410,427
fix broken,188,58
law school,333,103
reduc deficit,398,123
relat committe,213,67
assist program,320,101
background check,592,186
vote motion,185,59
civil right,740,234
small town,155,50
republican major,256,82
econom develop,363,116
longterm unemploy,264,85
come senat,301,97
budget resolut,306,99
progress made,165,54
earlier today,249,81
govern open,401,130
us attorney,346,113
republican want,219,72
hous urban,181,60
support famili,180,60
upordown vote,262,87
back time,292,97
rural commun,254,85
women act,184,62
later day,238,80
nativ american,292,98
violenc women,292,98
senat murray,252,85
let us,756,257
democrat republican,795,271
third time,212,73
committe foreign,147,51
natur disast,220,76
work famili,433,150
today adjourn,195,69
critic import,250,89
thank much,343,122
fund level,201,72
health safeti,164,59
york mr,229,82
lost job,209,75
consent text,138,50
washington state,183,66
militari famili,146,53
bill could,174,63
time pass,272,99
breast cancer,169,62
demand record,290,106
note absenc,135,50
would cut,157,58
bill take,198,73
higher educ,485,179
public servic,502,187
serv peopl,135,51
renew energi,310,116
turn back,226,85
senat hatch,142,54
get work,264,100
ask unanim,5797,2178
nutrit program,191,73
get ahead,132,51
environ public,145,56
famili across,216,83
close loophol,129,50
govern shutdown,1109,424
unanim consent,6401,2447
senat portman,149,58
republican parti,355,137
district court,362,141
judici nomine,201,79
public privat,134,53
block grant,252,99
postal servic,162,64
amend rule,136,54
crimin justic,125,50
public work,170,68
public servant,258,104
econom opportun,215,87
mani famili,185,75
chairman senat,165,67
grant program,277,112
work hard,1062,427
amend order,152,62
text bill,147,60
reform bill,310,126
econom recoveri,243,99
get health,176,72
fair act,363,148
vote today,227,93
govern shut,291,119
across america,440,180
feder fund,287,118
train equip,159,66
act law,129,54
save live,328,136
emerg room,143,60
keep govern,447,186
public school,226,95
everi week,173,73
get bill,304,128
econom activ,170,72
join senat,158,67
safeti net,442,186
