trigram,Freq_D,Freq_R
meet session senat,1111,7
author meet session,1066,7
period morn busi,444,5
tabl interven action,508,11
upon tabl interven,454,11
mr presid move,212,6
committe energi natur,228,7
consent resolut agre,212,7
unanim consent resolut,212,7
consent committe judiciari,125,5
equal pay equal,123,5
pay equal work,122,5
interven action debat,644,21
resolut agre preambl,204,8
agre preambl agre,203,8
preambl agre motion,201,8
congression black caucu,161,7
agre motion reconsid,299,12
emerg unemploy insur,96,5
session senat june,117,6
unanim consent committe,860,35
equal divid usual,82,5
clean continu resolut,150,8
proceed consider calendar,81,5
consent senat proceed,573,28
reconsid laid upon,201,11
govern pay bill,71,5
motion invok clotur,110,7
repeal afford care,239,14
lay motion tabl,103,7
motion reconsid laid,231,14
tabl motion lay,101,7
paycheck fair act,173,11
grant floor privileg,82,6
lay tabl agre,98,7
motion lay tabl,98,7
extrem weather event,97,7
hous republican leadership,77,6
committe discharg consider,92,7
committe commerc scienc,90,7
senat proceed consider,280,19
follow remark senat,55,5
bill amend read,54,5
societi civil engin,54,5
vote confirm nomin,54,5
motion tabl motion,99,8
divid usual form,83,7
move lay motion,68,6
district court district,52,5
faith credit unit,125,10
amend read third,66,6
equal pay act,80,7
insur million american,51,5
make minimum wage,51,5
unanim consent time,150,12
commerc scienc transport,93,8
home state senat,106,9
work hard play,62,6
earli childhood educ,102,9
consent committe foreign,128,11
state district columbia,47,5
consid made laid,389,31
reconsid consid made,388,31
nation histor park,60,6
motion reconsid consid,388,32
cost higher educ,45,5
million american live,45,5
speaker demand record,108,10
unanim consent senat,934,77
go back day,44,5
back time senat,81,8
use yield back,93,9
secur government affair,154,14
state senat senat,56,6
republican leader senat,116,11
grow middl class,43,5
rais minimum wage,476,41
american societi civil,54,6
let us vote,54,6
student loan debt,287,26
go confer budget,100,10
allow speak minut,53,6
million american famili,76,8
privaci civil liberti,41,5
democrat republican work,40,5
serv law clerk,40,5
rise today opposit,51,6
nativ american women,39,5
pass bipartisan bill,39,5
speaker motion recommit,39,5
laid upon tabl,582,55
senat proceed vote,298,29
vote right act,209,21
homeland secur government,154,16
credit card debt,59,7
health care million,48,6
unanim consent follow,79,9
base sexual orient,37,5
credit unit state,130,14
lower interest rate,68,8
committe foreign relat,140,15
energi natur resourc,281,29
rise strong opposit,108,12
western new york,57,7
product safeti commiss,36,5
ship job oversea,36,5
minimum wage hour,76,9
gentlewoman california ms,125,14
act law land,45,6
pass comprehens immigr,121,14
trillion deficit reduct,44,6
committe health educ,158,18
balanc budget back,34,5
extend debt ceil,34,5
time senat proceed,109,13
distinguish rank member,71,9
senat new jersey,136,16
made laid upon,379,43
assist program snap,42,6
senat pass bipartisan,42,6
shaheen senat portman,42,6
shut govern nt,42,6
make us proud,51,7
act chair gentlewoman,60,8
extend emerg unemploy,68,9
minut equal divid,50,7
rhode island mr,41,6
assault weapon ban,32,5
earlier today senat,32,5
militari justic improv,32,5
full faith credit,172,21
health insur marketplac,58,8
employ nondiscrimin act,84,11
enact level million,49,7
hope move forward,40,6
us go confer,40,6
face everi day,57,8
center american progress,31,5
floor privileg remaind,31,5
lurch crisi crisi,31,5
health insur individu,39,6
equal divid control,214,27
head start program,122,16
allow us go,30,5
mani differ way,30,5
speaker rise speak,30,5
center diseas control,179,23
immigr system one,38,6
committe hold hear,46,7
action climat chang,29,5
amend senat proceed,29,5
democrat republican senat,29,5
pass background check,29,5
care act million,37,6
need come togeth,37,6
rollcal present would,37,6
committe small busi,45,7
san francisco bay,45,7
judici emerg vacanc,53,8
univers background check,61,9
shut feder govern,44,7
democrat republican independ,36,6
speaker yield gentlewoman,67,10
energi effici legisl,28,5
let us rememb,28,5
speaker rollcal present,28,5
vote keep govern,28,5
york new jersey,59,9
higher interest rate,51,8
judiciari committe report,51,8
bipartisan immigr reform,43,7
children health insur,35,6
