bigram,Freq_R,Freq_D
care law,1462,165
illeg immigr,569,77
extran materi,417,59
legisl day,560,79
tax increas,351,60
care plan,437,79
rais tax,335,64
obama administr,1193,249
legal statu,272,59
al qaeda,529,118
follow senat,323,73
presid say,237,57
medic devic,309,74
gentleman pennsylvania,203,50
legal immigr,238,61
enforc law,461,118
intern revenu,243,63
medicar advantag,197,53
south carolina,479,129
energi product,242,66
individu mandat,309,89
command chief,182,53
harri reid,287,87
feder spend,202,62
bill hr,483,148
xl pipelin,295,91
friend across,159,50
border patrol,399,124
web site,837,261
senat democrat,553,173
american citizen,513,161
religi freedom,256,81
time presid,202,65
democrat colleagu,207,67
senat major,233,76
immigr law,353,116
took offic,156,52
lower cost,247,83
law requir,173,59
law nt,190,65
white hous,1457,501
promis made,198,69
health plan,288,100
rule law,578,200
continu reserv,213,75
speaker continu,146,52
madam chairman,297,105
southern border,249,89
energi resourc,141,51
terrorist organ,204,74
presid budget,198,72
hr amend,194,71
keyston xl,339,124
peopl actual,140,52
law say,183,68
carolina mr,181,68
law law,143,54
presid said,402,151
person inform,139,53
amend process,200,76
energi secur,192,73
georgia mr,157,60
underli legisl,135,52
new law,131,51
pennsylvania mr,144,56
across border,141,55
first amend,340,132
job creator,139,55
extend remark,552,218
revis extend,554,219
god bless,258,103
new health,124,50
patrol agent,141,57
presid unit,734,295
state israel,132,54
urg adopt,132,54
nation debt,342,139
act usc,168,69
violat law,143,59
amend right,209,87
found father,204,85
speaker ask,759,315
feder land,366,154
concurr resolut,117,50
talk point,169,72
senat reid,308,131
energi cost,156,67
keep promis,141,61
last thing,119,52
middl east,572,248
say presid,157,69
major leader,2037,886
rule senat,221,97
florida mr,199,88
execut branch,456,201
come countri,198,88
street journal,270,120
year presid,213,95
law go,111,50
wast fraud,120,54
money nt,131,59
terrorist attack,232,105
keyston pipelin,313,143
border secur,715,327
hous consid,136,63
plan would,125,58
today mr,148,69
provid health,163,76
secur border,422,198
answer question,291,137
spend money,417,196
actual go,107,51
use word,107,51
gentleman colorado,158,75
govern spend,189,90
nt keep,108,52
question ask,135,65
ask question,370,177
law would,206,99
get economi,122,59
prepar close,128,62
state code,157,76
presid propos,111,54
read bill,104,51
increas debt,108,53
come unit,141,69
green card,155,76
fraud abus,157,77
speaker american,103,51
energi independ,196,97
go cost,147,73
texa mr,283,140
inform technolog,114,57
democrat senat,270,134
secur number,124,62
titl unit,150,75
treasuri depart,101,51
law presid,219,110
budget control,248,125
central america,130,66
barack obama,211,107
hardwork american,274,139
kind thing,151,77
sinc presid,139,71
cost american,135,69
section titl,131,67
defund obamacar,146,75
health human,326,167
speaker reserv,349,179
human servic,336,173
well mr,96,50
member arm,119,62
follow law,115,60
tax dollar,177,92
well would,99,52
presid nt,151,79
foreign countri,120,63
chang law,207,109
control act,281,148
love famili,94,50
gentleman texa,368,194
take money,130,69
mr perez,128,68
research servic,124,66
congression research,118,63
need reform,118,63
taxpay dollar,345,183
energi commerc,248,132
bill right,221,118
averag american,121,65
senat paul,111,60
peopl side,96,52
branch govern,176,95
would argu,120,65
presid think,92,50
point order,437,235
south dakota,364,196
percent increas,130,71
think presid,98,54
solut problem,96,53
washington post,274,150
receiv letter,105,58
senat north,125,69
would actual,189,104
execut order,277,153
unintend consequ,164,91
congress presid,102,57
debt limit,464,257
increas cost,167,93
justic depart,230,128
make point,206,115
senat rule,162,91
pay higher,92,52
member support,117,66
need understand,117,66
peopl come,446,250
decid go,113,64
high unemploy,129,73
due process,202,114
cold war,111,63
pass law,253,143
elect repres,109,62
phone call,132,75
time move,98,56
committe rule,128,73
m go,204,116
nation energi,89,51
law pass,225,128
presid want,229,131
peopl pay,134,77
immedi consider,237,136
make much,86,50
chang rule,281,162
work ethic,98,57
energi need,91,53
state depart,485,280
guantanamo bay,103,60
trillion year,89,52
gentleman florida,215,125
thing nt,149,87
cost go,109,64
ga price,102,60
global warm,193,113
within year,100,59
law make,88,52
deserv better,170,100
presid go,144,85
north dakota,340,200
thing peopl,96,57
per month,145,86
insur premium,206,122
nt chang,116,69
shall consid,87,52
ve got,412,244
speaker time,259,154
take job,85,51
job opportun,122,73
nation interest,186,111
environment impact,125,75
would point,96,58
ronald reagan,213,128
cross border,116,70
govern program,136,82
say think,99,60
us nt,114,69
soviet union,124,75
rule would,117,71
senat arkansa,87,53
today support,296,179
thing would,161,98
colorado mr,113,69
thing could,93,57
claim time,124,76
member parti,96,59
never happen,119,73
way senat,114,70
money spent,91,56
reserv balanc,1548,945
money come,89,55
go allow,102,63
like yield,162,100
one time,188,116
peopl deserv,196,121
chang senat,82,51
speaker think,95,59
money pay,90,56
senat kentucki,132,82
chairman would,106,66
spend million,106,66
wildlif servic,80,50
budget offic,517,320
still nt,88,55
actual work,130,81
go ahead,133,83
say ca,120,75
balanc budget,350,218
marin corp,263,164
resourc committe,168,105
work way,213,133
labor union,102,64
bill clinton,97,61
question senat,97,61
bill actual,105,66
thank chair,174,109
back home,350,219
much less,84,53
put us,159,100
legisl branch,114,72
collect tax,90,57
number peopl,278,175
chairman reserv,96,61
speaker nt,121,77
bill young,102,65
month later,94,60
senat oklahoma,173,110
repeal obamacar,149,95
sound like,160,102
job would,122,78
held account,153,98
vote yea,98,63
gentleman georgia,145,93
amend vote,143,92
purpl heart,82,53
make decis,489,314
govern account,194,125
pick choos,88,57
requir law,88,57
world would,102,66
chairman yield,569,366
get involv,91,59
peopl lose,105,68
senat utah,80,52
time would,209,135
spend billion,190,123
senat tennesse,145,94
allow peopl,131,85
may well,78,51
foreign polici,234,152
nuclear weapon,495,321
work requir,81,53
insur plan,267,174
number one,193,126
given us,93,61
go use,116,76
consum gentleman,119,78
time opposit,119,78
state hous,105,69
know presid,151,99
presid obama,2322,1515
leader said,131,86
congression budget,543,355
inspector gener,408,267
close door,97,64
motion recommit,207,136
today presid,77,51
debat amend,115,76
even know,115,76
buy health,86,57
american peopl,4854,3190
say know,136,90
want peopl,98,65
senat financ,101,67
terrorist group,104,69
moment ago,107,71
time yield,330,218
natur ga,803,530
peopl see,119,79
state presid,75,50
consider bill,131,87
cost million,81,54
spend much,81,54
borrow money,202,134
american health,90,60
york time,267,177
constitut right,173,115
thought prayer,105,70
secretari state,318,211
american taxpay,324,215
medal honor,123,82
go chang,85,57
would cost,142,95
good idea,226,151
chairman rise,308,206
say would,155,104
peopl ask,98,66
went say,83,56
mr moran,77,52
simpli say,141,95
peopl like,218,147
like take,145,98
committe process,87,59
part world,136,92
nt ask,78,53
feder tax,75,51
first one,75,51
today recogn,155,105
speaker want,303,205
presid sign,137,93
account offic,171,116
believ would,91,62
make happen,88,60
first term,82,56
democrat hous,76,52
want hear,73,50
second amend,210,143
american hero,95,65
come congress,95,65
much higher,95,65
time think,92,63
rule chang,142,97
senat nt,136,93
one constitu,86,59
say look,86,59
ultim sacrific,86,59
say peopl,105,72
ga pipelin,77,53
feder reserv,228,156
gentleman amend,153,105
winner loser,87,60
go around,119,82
would delay,81,56
increas percent,164,113
get point,110,76
matter fact,171,118
base upon,136,94
tax return,101,70
would tell,82,57
illinoi mr,95,66
mr speaker,13017,8995
fix problem,219,152
sex traffick,83,58
speaker today,233,162
senat said,119,83
committe hous,106,74
realli nt,106,74
cut spend,139,97
get amend,90,63
today honor,172,120
piec legisl,838,583
encourag colleagu,238,166
need know,179,125
peopl would,383,267
nt use,120,84
chair gentleman,400,279
appreci gentleman,107,75
d like,160,112
major senat,137,96
presid democrat,81,57
thing think,81,57
real problem,168,118
next decad,105,74
nuclear program,105,74
hear peopl,85,60
harm way,122,86
nt mean,199,140
cost health,139,98
go need,82,58
job economi,99,70
year mr,89,63
know mr,79,56
foreign affair,133,94
employe work,93,66
attorney gener,475,336
women uniform,223,158
congress american,87,62
balanc time,3088,2190
amend yield,263,187
rais debt,263,187
seem like,122,87
past sever,98,70
ve seen,143,102
amend consid,74,53
congress go,74,53
would think,195,139
whole lot,81,58
congress would,133,95
depart health,133,95
futur countri,95,68
made decis,102,73
said look,71,51
chairman subcommitte,99,71
pilot program,99,71
prime minist,162,116
speaker m,82,59
committe member,96,69
know nt,170,122
say mr,114,82
speaker rollcal,93,67
gentleman north,86,62
money would,79,57
cost billion,104,75
took place,150,108
commit crime,83,60
sure nt,76,55
thank chairman,602,433
amend reserv,94,68
way think,87,63
care bill,144,104
year go,162,117
protect act,198,143
budget request,73,53
job creation,459,331
one reason,259,187
go percent,84,61
well nt,124,90
work presid,88,64
percent peopl,135,98
famili countri,81,59
one member,81,59
open process,81,59
think would,291,211
time say,92,67
would nt,740,536
peopl believ,121,88
congression record,74,54
bill committe,78,57
iran nuclear,89,65
make tough,89,65
cut medicar,71,52
let repeat,104,76
