trigram,Freq_R,Freq_D
presid health care,396,6
may legisl day,371,6
member may legisl,371,6
remark includ extran,326,6
extend remark includ,324,6
consent member may,370,7
unanim consent member,527,10
includ extran materi,331,7
legisl day revis,432,9
day revis extend,430,9
suspend rule pass,311,7
delay employ mandat,106,7
texa recogn minut,66,5
readi prime time,55,5
keep health plan,54,5
approv keyston pipelin,53,5
jewish state israel,53,5
resolut ask immedi,97,8
keep health care,111,9
chief inform offic,66,6
record absent due,50,5
ask immedi consider,187,15
republican studi committe,44,5
mr speaker move,447,38
later day date,56,6
constitu back home,43,5
lose health insur,43,5
like health care,114,11
south carolina mr,100,10
state south dakota,100,10
debt limit increas,64,7
law faith execut,63,7
global war terror,130,13
get economi grow,40,5
date enact act,106,11
day date enact,50,6
end follow new,38,5
see mr speaker,38,5
hard work done,59,7
keep bear arm,36,5
care law faith,56,7
present unit state,45,6
bill hr provid,35,5
unit state say,35,5
senat south carolina,142,16
mr speaker object,44,6
pay higher premium,34,5
health care law,1390,150
mr speaker pursuant,90,11
honest american peopl,33,5
state hillari clinton,42,6
enter countri illeg,41,6
employe work hour,32,5
first amend right,85,11
mr speaker direct,67,9
madam speaker move,40,6
alreadi pass hous,31,5
student success act,31,5
year date enact,31,5
health care plan,427,52
secretari state hillari,39,6
senat texa mr,64,9
health insur obamacar,30,5
senat illinoi mr,30,5
central valley project,78,11
peopl elect repres,29,5
mr speaker presid,133,18
without rais tax,36,6
right keep bear,28,5
new health care,97,14
america nation secur,35,6
receiv cancel notic,35,6
gentleman kentucki mr,57,9
cell phone bill,27,5
chair rank minor,27,5
presid senat democrat,27,5
support commonsens amend,27,5
unit state law,27,5
white hous say,27,5
committe foreign affair,34,6
hous repres committe,34,6
work part time,41,7
patient protect afford,70,11
natur ga product,48,8
al qaeda terrorist,26,5
hardearn tax dollar,26,5
rio grand valley,26,5
sergeant first class,26,5
speaker thank chairman,62,10
think mr speaker,40,7
health care premium,75,12
amend ad end,53,9
madam chairman yield,46,8
major leader come,25,5
regular order process,25,5
thank gentleman maryland,25,5
tonight mr speaker,25,5
approv keyston xl,66,11
thank chairman yield,65,11
violat feder law,31,6
would also point,24,5
take care law,57,10
agre speaker approv,37,7
demand vote agre,37,7
speaker approv journal,37,7
vote agre speaker,37,7
obama health care,50,9
minut gentleman pennsylvania,63,11
peopl come countri,56,10
repeal medic devic,56,10
wish continu success,56,10
amend en bloc,62,11
present vote senat,100,17
claus rule demand,36,7
rule demand vote,36,7
takeov health care,36,7
year obama administr,36,7
medic devic tax,156,26
street journal report,23,5
thank gentleman pennsylvania,23,5
unit state legal,23,5
wind product tax,23,5
chang rule senat,73,13
blue cross blue,35,7
get vote amend,35,7
listen american peopl,53,10
ad end follow,89,16
govern takeov health,22,5
particip polit process,22,5
thank chairman mr,22,5
make point order,76,14
time presid obama,28,6
cross blue shield,34,7
lower energi cost,34,7
volunt fire depart,34,7
delay individu mandat,86,16
median household incom,33,7
current health care,27,6
system check balanc,27,6
texa mr cruz,27,6
across state line,73,14
afghanistan mr speaker,21,5
intercontinent ballist missil,21,5
lost health insur,21,5
presid obama nt,21,5
proud honor rememb,21,5
spend taxpay dollar,21,5
thank chairman goodlatt,21,5
health insur cost,44,9
committe way mean,38,8
health care industri,26,6
white hous presid,37,8
may consum hr,48,10
major leader would,53,11
enforc immigr law,102,20
amend chair gentleman,42,9
alloftheabov energi polici,20,5
job would creat,20,5
man woman child,31,7
reform entitl program,20,5
said health care,20,5
would say gentleman,69,14
gentleman louisiana mr,47,10
major leader harri,47,10
health insur employe,36,8
would like extend,36,8
gentleman ohio mr,68,14
first year presid,25,6
gentlewoman tennesse mr,25,6
hold peopl account,25,6
committe scienc space,30,7
use nuclear option,30,7
gentleman indiana mr,51,11
free exercis religion,35,8
lose health care,45,10
appropri act fiscal,19,5
border secur border,19,5
major medic facil,19,5
offer amend debat,19,5
state make decis,19,5
third congression district,19,5
virginia mr cantor,19,5
world ever known,19,5
air forc one,24,6
higher health care,24,6
strong work ethic,29,7
american energi independ,34,8
floor unit state,34,8
vote amend yield,34,8
everi man woman,39,9
democrat side aisl,48,11
north american energi,38,9
speaker pursuant claus,38,9
second congression district,33,8
state marin corp,33,8
committe mr speaker,28,7
white hous said,28,7
battalion infantri regiment,23,6
make life difficult,23,6
strengthen nation secur,23,6
absent due death,18,5
american peopl good,18,5
ask senat colleagu,18,5
border secur enforc,18,5
chairman financi servic,18,5
law congress pass,18,5
mr speaker job,18,5
order chang rule,18,5
speaker nt know,18,5
tennesse mr blackburn,18,5
today support bill,18,5
urg passag hr,18,5
come across border,57,13
intern revenu servic,192,41
minut gentleman colorado,52,12
free syrian armi,95,21
unit state constitut,66,15
attorney gener eric,32,8
percent small busi,32,8
homeland secur secretari,27,7
mr speaker unit,27,7
pay back tax,27,7
consum rise today,41,10
hour per week,64,15
open amend process,101,23
chairman thank chairman,22,6
honor rememb action,22,6
last thing need,22,6
pass piec legisl,22,6
small busi capit,22,6
domest energi product,36,9
hous natur resourc,36,9
oil ga product,31,8
border secur strategi,17,5
cost per month,17,5
fair american peopl,17,5
head civil right,17,5
health benefit plan,17,5
health servic act,17,5
honor pay tribut,17,5
includ social secur,17,5
medicar advantag program,17,5
presid command chief,17,5
provision immigr statu,17,5
renew fuel standard,17,5
unit state ca,17,5
american deserv better,26,7
american peopl one,26,7
say health care,26,7
space technolog committe,26,7
gener eric holder,30,8
senat chang rule,30,8
articl iii court,21,6
get america back,21,6
need held account,21,6
period high unemploy,21,6
vote motion recommit,21,6
year american peopl,21,6
year presid bush,21,6
special interest group,43,11
member natur resourc,34,9
move hous adjourn,143,34
mr speaker monday,25,7
say mr presid,25,7
trade promot author,51,13
get green card,29,8
one thing know,29,8
account offic report,16,5
american peopl confid,16,5
american peopl never,16,5
articl washington post,16,5
borrow money pay,16,5
chanc offer amend,16,5
current health insur,16,5
district north carolina,16,5
honor heroic effort,16,5
hr taxpay fund,16,5
internet sale tax,16,5
make much money,16,5
member energi committe,16,5
member senat arm,16,5
natur ga produc,16,5
pass bill fund,16,5
state iraq syria,16,5
state presid obama,16,5
throughout middl east,16,5
trust american peopl,46,12
hardwork american famili,33,9
violat claus rule,37,10
major leader senat,125,31
law nt like,20,6
nt work way,20,6
presid wo nt,20,6
virginia recogn minut,20,6
world greatest delib,41,11
tell american peopl,70,18
nt want talk,45,12
speaker move hous,136,34
minor member committe,24,7
problem mr speaker,24,7
san joaquin river,24,7
american peopl presid,28,8
ask american peopl,28,8
congress white hous,28,8
mr speaker senat,28,8
paincap unborn child,28,8
speaker presid obama,28,8
al qaeda affili,32,9
hous pass legisl,32,9
peopl want come,32,9
put us path,32,9
war unit state,32,9
committe energi commerc,52,14
american job american,15,5
announc last week,15,5
base realign closur,15,5
buy health care,15,5
chairman yield much,15,5
consider bill amend,15,5
countri middl east,15,5
enforc law book,15,5
inform technolog acquisit,15,5
like everybodi els,15,5
need get right,15,5
nt know re,15,5
offer amend get,15,5
record follow remark,15,5
respons feder govern,15,5
rise offer amend,15,5
see unit state,15,5
senat democrat presid,15,5
sexual assault domest,15,5
small busi employ,15,5
support continu resolut,15,5
corpor tax rate,39,11
control health care,35,10
delib bodi world,35,10
peopl countri illeg,35,10
mr speaker import,31,9
peopl back home,31,9
rule chang rule,31,9
arizona mr gosar,19,6
hold va account,19,6
inform american peopl,19,6
obamacar health care,19,6
presid submit budget,19,6
simplifi tax code,19,6
want thank member,19,6
would make easier,19,6
peopl wo nt,27,8
thing mr speaker,27,8
back year ago,23,7
health care like,23,7
senat reid said,23,7
balanc time dear,34,10
bush second term,30,9
presid bush second,30,9
keyston xl pipelin,289,77
chang health care,26,8
point order amend,26,8
stand american peopl,26,8
increas debt limit,45,13
believ unit state,22,7
director offic manag,22,7
florida mr hast,22,7
member wish heard,22,7
time reserv balanc,22,7
leader harri reid,52,15
would vote nay,108,30
border secur measur,18,6
come hous repres,18,6
come mr speaker,18,6
health care employe,18,6
nt want nt,18,6
resolv committe whole,18,6
spend trillion year,18,6
success futur endeavor,18,6
senat major leader,145,40
spend next year,33,10
friend across aisl,152,42
enter unit state,44,13
major leader said,92,26
billion billion year,29,9
american peopl talk,14,5
annual appropri process,14,5
assault domest violenc,14,5
california mr lamalfa,14,5
chairman energi committe,14,5
committe whole hous,14,5
constitut articl section,14,5
democrat white hous,14,5
enemi unit state,14,5
gener tax administr,14,5
get much wors,14,5
get rid obamacar,14,5
go go ahead,14,5
go say go,14,5
impact real peopl,14,5
inspector gener tax,14,5
insur premium go,14,5
must held account,14,5
one thing peopl,14,5
paid ultim sacrific,14,5
protect american job,14,5
put boot ground,14,5
unit state requir,14,5
virginia mr wolf,14,5
washington post editori,14,5
way senat oper,14,5
whole hous state,14,5
product feder land,40,12
growth job creation,51,15
explain american peopl,25,8
underli bill would,25,8
oper endur freedom,54,16
gentleman pennsylvania mr,112,32
accord congression research,32,10
hire new worker,32,10
lo angel time,32,10
chair member wish,21,7
chairman foreign affair,21,7
death famili present,21,7
detain present would,21,7
done mr speaker,21,7
due death famili,21,7
go back look,21,7
peopl deserv know,21,7
presid obama say,21,7
save social secur,21,7
thank gentleman georgia,21,7
time high unemploy,21,7
within feder govern,21,7
committe transport infrastructur,39,12
presid obama senat,28,9
problem health care,28,9
week mr speaker,28,9
colleagu support commonsens,35,11
barrel oil day,17,6
depart inspector gener,17,6
feder govern spent,17,6
get answer question,17,6
law american peopl,17,6
like unit state,17,6
obama white hous,17,6
record mr speaker,17,6
small busi health,17,6
tax internet access,17,6
well nt know,17,6
kill innoc peopl,24,8
million peopl year,24,8
act usc amend,45,14
opportun offer amend,45,14
american ca nt,31,10
put american work,31,10
unborn child protect,31,10
speaker continu reserv,114,34
law mr speaker,41,13
unit state marin,41,13
support bill reserv,34,11
amend offer mr,27,9
energi independ secur,27,9
fifth congression district,27,9
mr chairman think,27,9
without due process,27,9
american famili act,20,7
colorado mr tipton,20,7
come togeth say,20,7
feder govern come,20,7
happen unit state,20,7
nt know anybodi,20,7
prime minist netanyahu,20,7
understand mr speaker,20,7
urg vote amend,20,7
protect afford care,71,22
gentleman oklahoma mr,37,12
access care act,13,5
accord bureau labor,13,5
budget balanc year,13,5
colleagu vote clotur,13,5
engel new york,13,5
even mr speaker,13,5
feder govern abl,13,5
follow new paragraph,13,5
four brave american,13,5
gentleman minnesota recogn,13,5
go american peopl,13,5
good friend california,13,5
happen last week,13,5
jersey mr frelinghuysen,13,5
job health care,13,5
make sure member,13,5
member congress go,13,5
men women protect,13,5
nt give us,13,5
peopl pay attent,13,5
presid chief execut,13,5
presid obama continu,13,5
promis made promis,13,5
protect end user,13,5
septemb terrorist attack,13,5
